date,n_tanker,n_total,n_dry_bulk,n_container,n_roro,capacity_tanker,capacity,tanker_ratio,source
2025-06-15,64.0,107.0,16.0,18.0,5.0,3474991.0,4628220.0,0.5981308411214953,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-16,54.0,103.0,15.0,22.0,7.0,2483867.0,3469190.0,0.5242718446601942,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-17,49.0,86.0,14.0,18.0,0.0,2656220.0,3851618.0,0.5697674418604651,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-18,65.0,123.0,22.0,22.0,3.0,2622368.0,3706997.0,0.5284552845528455,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-19,53.0,95.0,12.0,22.0,4.0,3660760.0,4439457.0,0.5578947368421052,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-20,51.0,93.0,12.0,22.0,2.0,1848614.0,2909519.0,0.5483870967741935,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-21,70.0,120.0,15.0,21.0,5.0,2175749.0,3603979.0,0.5833333333333334,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-22,59.0,97.0,12.0,17.0,3.0,3425897.0,4355631.0,0.6082474226804123,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-23,39.0,87.0,19.0,19.0,2.0,1903660.0,2923341.0,0.4482758620689655,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-24,72.0,113.0,11.0,22.0,1.0,2884807.0,3897899.0,0.6371681415929203,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-25,65.0,105.0,16.0,16.0,2.0,3095022.0,3895764.0,0.6190476190476191,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-26,46.0,84.0,13.0,22.0,3.0,2729670.0,3892419.0,0.5476190476190477,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-27,69.0,116.0,11.0,21.0,4.0,2415550.0,3580439.0,0.5948275862068966,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-28,60.0,113.0,18.0,24.0,2.0,3477648.0,4429312.0,0.5309734513274337,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-29,64.0,117.0,20.0,21.0,6.0,2661724.0,3743868.0,0.5470085470085471,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-06-30,56.0,103.0,16.0,18.0,4.0,3071945.0,4120752.0,0.5436893203883495,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-01,48.0,103.0,19.0,26.0,2.0,1622028.0,2813500.0,0.46601941747572817,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-02,64.0,103.0,17.0,17.0,3.0,2604705.0,3644127.0,0.6213592233009708,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-03,57.0,99.0,14.0,17.0,7.0,2545505.0,3689082.0,0.5757575757575758,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-04,72.0,121.0,18.0,23.0,1.0,3322851.0,4697864.0,0.5950413223140496,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-05,67.0,105.0,14.0,18.0,2.0,2195756.0,3165777.0,0.638095238095238,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-06,48.0,81.0,13.0,14.0,3.0,1486289.0,2346613.0,0.5925925925925926,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-07,44.0,90.0,14.0,19.0,4.0,2426545.0,3690150.0,0.4888888888888889,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-08,47.0,96.0,17.0,18.0,4.0,1321643.0,2555924.0,0.4895833333333333,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-09,56.0,90.0,13.0,14.0,6.0,2802672.0,3644035.0,0.6222222222222222,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-10,60.0,103.0,14.0,19.0,3.0,3187842.0,4434739.0,0.5825242718446602,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-11,61.0,91.0,12.0,12.0,3.0,3368827.0,4345351.0,0.6703296703296703,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-12,61.0,109.0,19.0,24.0,5.0,3519285.0,4556745.0,0.5596330275229358,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-13,52.0,89.0,15.0,18.0,2.0,2108776.0,2966379.0,0.5842696629213483,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-14,62.0,110.0,18.0,18.0,6.0,2618316.0,3818587.0,0.5636363636363636,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-15,54.0,114.0,18.0,32.0,4.0,2964087.0,4448352.0,0.47368421052631576,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-16,65.0,109.0,23.0,14.0,4.0,3058920.0,4046036.0,0.5963302752293578,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-17,63.0,113.0,20.0,18.0,5.0,3774830.0,4922081.0,0.5575221238938053,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
2025-07-18,51.0,96.0,16.0,22.0,3.0,2660282.0,3721295.0,0.53125,ArcGIS FeatureServer (IMF PortWatch chokepoint6)
