date,close,ticker,source
2025-06-20,83.12000274658203,USO,Yahoo Finance
2025-06-23,76.41000366210938,USO,Yahoo Finance
2025-06-24,73.0,USO,Yahoo Finance
2025-06-25,73.30999755859375,USO,Yahoo Finance
2025-06-26,73.58999633789062,USO,Yahoo Finance
2025-06-27,73.27999877929688,USO,Yahoo Finance
2025-06-30,73.11000061035156,USO,Yahoo Finance
2025-07-01,73.93000030517578,USO,Yahoo Finance
2025-07-02,75.58999633789062,USO,Yahoo Finance
2025-07-03,75.19000244140625,USO,Yahoo Finance
2025-07-07,76.4800033569336,USO,Yahoo Finance
2025-07-08,76.95999908447266,USO,Yahoo Finance
2025-07-09,76.93000030517578,USO,Yahoo Finance
2025-07-10,75.38999938964844,USO,Yahoo Finance
2025-07-11,77.29000091552734,USO,Yahoo Finance
2025-07-14,75.62000274658203,USO,Yahoo Finance
2025-07-15,75.26000213623047,USO,Yahoo Finance
2025-07-16,75.19000244140625,USO,Yahoo Finance
2025-07-17,76.16000366210938,USO,Yahoo Finance
2025-07-18,75.93000030517578,USO,Yahoo Finance
2025-07-21,75.58999633789062,USO,Yahoo Finance
2025-07-22,75.3499984741211,USO,Yahoo Finance
2025-07-23,75.27999877929688,USO,Yahoo Finance
2025-07-24,76.08999633789062,USO,Yahoo Finance
2025-07-25,74.8499984741211,USO,Yahoo Finance
2025-07-28,77.16999816894531,USO,Yahoo Finance
2025-07-29,79.80000305175781,USO,Yahoo Finance
2025-07-30,81.04000091552734,USO,Yahoo Finance
2025-07-31,79.58999633789062,USO,Yahoo Finance
2025-08-01,77.45999908447266,USO,Yahoo Finance
2025-08-04,76.11000061035156,USO,Yahoo Finance
2025-08-05,75.0199966430664,USO,Yahoo Finance
2025-08-06,73.79000091552734,USO,Yahoo Finance
2025-08-07,73.41999816894531,USO,Yahoo Finance
2025-08-08,73.30000305175781,USO,Yahoo Finance
2025-08-11,73.80000305175781,USO,Yahoo Finance
2025-08-12,72.94999694824219,USO,Yahoo Finance
2025-08-13,72.45999908447266,USO,Yahoo Finance
2025-08-14,73.73999786376953,USO,Yahoo Finance
2025-08-15,72.80000305175781,USO,Yahoo Finance
2025-08-18,73.16999816894531,USO,Yahoo Finance
2025-08-19,72.30000305175781,USO,Yahoo Finance
2025-08-20,73.5199966430664,USO,Yahoo Finance
2025-08-21,74.12999725341797,USO,Yahoo Finance
2025-08-22,74.63999938964844,USO,Yahoo Finance
2025-08-25,75.75,USO,Yahoo Finance
2025-08-26,74.05000305175781,USO,Yahoo Finance
2025-08-27,74.68000030517578,USO,Yahoo Finance
2025-08-28,75.23999786376953,USO,Yahoo Finance
2025-08-29,74.83999633789062,USO,Yahoo Finance
2025-09-02,76.76000213623047,USO,Yahoo Finance
2025-09-03,74.83000183105469,USO,Yahoo Finance
2025-09-04,74.18000030517578,USO,Yahoo Finance
2025-09-05,72.62999725341797,USO,Yahoo Finance
2025-09-08,73.04000091552734,USO,Yahoo Finance
